State,Payer Mix Price Method,Profit Margin Price Method
AK,13247,13884
AL,9660,9315
AR,9685,9289
AZ,11295,11600
CA,16711,16314
CO,11365,11284
CT,14718,15308
DC,14927,14914
DE,12528,11764
FL,11001,11338
GA,11769,11613
HI,17592,18557
IA,9893,9511
ID,12123,11972
IL,11774,11544
IN,10450,10318
KS,9921,9779
KY,9193,8676
LA,10883,10399
MA,13102,13644
MD,18564,17072
ME,14709,13741
MI,12631,12378
MN,13493,13243
MO,11016,10745
MS,10054,9337
MT,11776,11406
NC,10948,10741
ND,11035,11200
NE,10905,10772
NH,11384,11518
NJ,14739,14130
NM,10994,10799
NV,13104,12688
NY,17413,16825
National,11135,12219
OH,10115,11340
OK,13516,9636
OR,11891,14047
PA,13213,12264
RI,11195,13572
SC,11576,10820
SD,11011,11060
TN,12153,10620
TX,10024,12012
UT,10266,9711
VA,12910,10463
VT,13533,13180
WA,11433,13462
WI,10918,11385
WV,10865,10850
WY,12365,10050
